KARİYER YOLU — F HAVUZU (1132 oyuncu) — tanınırlık sırasıyla (üst=en bilinen)
format: # | İsim | Milliyet | milliMaç | piyasaDeğeri(M€)
477 | Blerim Dzemaili | Switzerland | 69 cap | 11M
478 | Martin Braithwaite | Denmark | 69 cap | 12M
479 | Joe Cole | England | 56 cap | 21M
480 | Jérémy Doku | Belgium | 41 cap | 65M
481 | Walter Samuel | Argentina | 57 cap | 25M
482 | Dávid Hancko | Slovakia | 59 cap | 35M
483 | Hidetoshi Nakata | Japan | 79 cap | 10M
484 | Sead Kolasinac | Bosnia-Herzegovina | 64 cap | 20M
485 | Emiliano Martínez | Argentina | 59 cap | 35M
486 | Weston McKennie | United States | 64 cap | 30M
487 | Wilfried Zaha | Cote d'Ivoire | 34 cap | 55M
488 | Lucas Torreira | Uruguay | 40 cap | 55M
489 | Alexandre Lacazette | France | 16 cap | 70M
490 | Hristo Stoichkov | Bulgaria | 83 cap | 0M
491 | Stefan Reuter | Germany | 69 cap | 0M
492 | Jens Lehmann | Germany | 61 cap | 6M
493 | Eric Dier | England | 49 cap | 40M
494 | Anthony Martial | France | 30 cap | 65M
